NAME,DESCRIPTION,TELEPHONE,Location,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4
NEW CANAAN POLICE DEPARTMENT,MUNICIPAL,203-594-3500,"(41.1412, -73.490681)",174 SOUTH AVENUE,,NEW CANAAN,CT,6840,5728
CONNECTICUT STATE POLICE TROOP D - CHAPLIN RESIDENT STATE TROOPER,STATE POLICE,860-455-2069,"(41.801459, -72.125032)",495 PHOENIXVILLE ROAD,,CHAPLIN,CT,6235,2400
CONNECTICUT STATE POLICE TROOP A - ROXBURY RESIDENT STATE TROOPER,STATE POLICE,860-354-0089,"(41.560411, -73.310648)",29 NORTH STREET,,ROXBURY,CT,6783,1405
WILLIMANTIC POLICE DEPARTMENT,MUNICIPAL,860-465-3135,"(41.713258, -72.214769)",22 MEADOW STREET,,WILLIMANTIC,CT,6226,2507
CONNECTICUT STATE POLICE TROOP L - WASHINGTON RESIDENT STATE TROOPER,STATE POLICE,860-868-2100,"(41.640895, -73.320316)",2 BRYAN PLAZA,,WASHINGTON,CT,6794,1504
NORTH HAVEN POLICE DEPARTMENT,MUNICIPAL,203-239-5321,"(41.38751, -72.862335)",8 LINSLEY STREET,,NORTH HAVEN,CT,6473,2517
WATERFORD POLICE DEPARTMENT,MUNICIPAL,860-442-9453,"(41.343685, -72.13627)",41 AVERY LANE,,WATERFORD,CT,6385,2202
STAMFORD POLICE DEPARTMENT,MUNICIPAL,203-977-4681,"(41.060152, -73.536578)",805 BEDFORD STREET,,STAMFORD,CT,6901,1103
CONNECTICUT STATE POLICE TROOP A - BRIDGEWATER RESIDENT STATE TROOPER,STATE POLICE,860-355-9375,"(41.527123, -73.358321)",132 HUT HILL ROAD,,BRIDGEWATER,CT,6752,1329
CONNECTICUT DEPARTMENT OF ENVIRONMENTAL CONSERVATION POLICE - HEADQUARTERS,OTHER,860-424-3012,"(41.763094, -72.678688)",79 ELM STREET,,HARTFORD,CT,6106,1650
FAIRFIELD POLICE DEPARTMENT,MUNICIPAL,203-254-4831,"(41.139553, -73.257056)",100 REEF ROAD,,FAIRFIELD,CT,6824,5919
ORANGE POLICE DEPARTMENT,MUNICIPAL,203-891-2130,"(41.263495, -73.008359)",314 LAMBERT ROAD,,ORANGE,CT,6477,3428
CONNECTICUT STATE POLICE WESTERN DISTRICT - HEADQUARTERS,STATE POLICE,860-626-7975,"(41.736348, -73.217686)",452 BANTAM ROAD,,LITCHFIELD,CT,6759,3201
GROTON TOWN POLICE DEPARTMENT,MUNICIPAL,860-441-6710,"(41.343621, -72.010272)",68 GROTON LONG POINT ROAD,,GROTON,CT,6340,4806
VERNON POLICE DEPARTMENT,MUNICIPAL,860-872-9126,"(41.839574, -72.465237)",725 HARTFORD TURNPIKE,,VERNON,CT,6066,5115
CONNECTICUT STATE POLICE TROOP C - MANSFIELD RESIDENT STATE TROOPER,STATE POLICE,860-429-6024,"(41.801493, -72.241466)",4 SOUTH EAGLEVILLE ROAD,,MANSFIELD,CT,6268,2574
WEST HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-523-5203,"(41.758933, -72.739465)",103 RAYMOND ROAD,,WEST HARTFORD,CT,6107,2538
TRUMBULL POLICE DEPARTMENT,MUNICIPAL,203-261-3665,"(41.234486, -73.218575)",158 EDISON ROAD,,TRUMBULL,CT,6611,4139
WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-688-5063,"(41.852362, -72.660448)",340 BLOOMFIELD AVENUE,,WINDSOR,CT,6095,2709
EAST HAVEN POLICE DEPARTMENT,MUNICIPAL,203-468-3214,"(41.293316, -72.866196)",471 NORTH HIGH STREET,,EAST HAVEN,CT,6512,1555
DARIEN POLICE DEPARTMENT,MUNICIPAL,203-662-5300,"(41.069604, -73.479473)",25 HECKER AVENUE,,DARIEN,CT,6820,5308
BRIDGEPORT POLICE DEPARTMENT,MUNICIPAL,203-581-5100,"(41.181712, -73.19278)",300 CONGRESS STREET,,BRIDGEPORT,CT,6604,4065
MADISON POLICE DEPARTMENT,MUNICIPAL,203-245-2721,"(41.296568, -72.574594)",9 CAMPUS DRIVE,,MADISON,CT,6443,2562
AVON POLICE DEPARTMENT,MUNICIPAL,860-677-9746,"(41.810892, -72.836748)",60 WEST MAIN STREET,,AVON,CT,6001,3719
PLAINVILLE POLICE DEPARTMENT,MUNICIPAL,860-747-1616,"(41.672919, -72.86592)",19 NEAL COURT,,PLAINVILLE,CT,6062,1603
GUILFORD POLICE DEPARTMENT,MUNICIPAL,203-453-8061,"(41.297127, -72.688447)",400 CHURCH STREET,,GUILFORD,CT,6437,2004
MONTVILLE POLICE DEPARTMENT,MUNICIPAL,860-848-7510,"(41.481499, -72.09325)",89 FORT SHANTOK ROAD,,UNCASVILLE,CT,6382,1301
